"gene","cluster_id","baseMean","logFC","lfcSE","stat","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Tmem138","NKT_cells",11.3,0.37,0.666,0.556,0.578,0.872,0.809,"WB","Compartment","muscat_DESeq2"
"Cyb561a3","NKT_cells",17.6,0.137,0.548,0.251,0.802,0.952,0.926,"WB","Compartment","muscat_DESeq2"
"Ddb1","NKT_cells",118,0.0802,0.266,0.302,0.763,0.941,0.909,"WB","Compartment","muscat_DESeq2"
"Vps37c","NKT_cells",29.1,-0.562,0.458,-1.23,0.22,0.644,0.515,"WB","Compartment","muscat_DESeq2"
"Cd5","NKT_cells",150,0.212,0.254,0.834,0.404,0.787,0.694,"WB","Compartment","muscat_DESeq2"
"A430093F15Rik","NKT_cells",36.5,-0.64,0.467,-1.37,0.171,0.589,0.453,"WB","Compartment","muscat_DESeq2"
"Cd6","NKT_cells",107,0.585,0.266,2.2,0.028,0.253,0.154,"WB","Compartment","muscat_DESeq2"
"Tmem109","NKT_cells",42,0.964,0.381,2.53,0.0113,0.149,0.0835,"WB","Compartment","muscat_DESeq2"
"Prpf19","NKT_cells",78.6,0.146,0.326,0.448,0.654,0.907,0.854,"WB","Compartment","muscat_DESeq2"
"Ccdc86","NKT_cells",24.2,0.288,0.485,0.594,0.553,0.858,0.792,"WB","Compartment","muscat_DESeq2"
"AW112010","NKT_cells",906,0.345,0.215,1.6,0.109,0.488,0.351,"WB","Compartment","muscat_DESeq2"
"Gm28935","NKT_cells",11.8,0.67,0.662,1.01,0.311,0.727,0.615,"WB","Compartment","muscat_DESeq2"
"Ms4a4c","NKT_cells",167,-1,0.257,-3.89,0.0000985,0.00503,0.00239,"WB","Compartment","muscat_DESeq2"
"Ms4a4b","NKT_cells",1830,0.0634,0.164,0.387,0.699,0.92,0.877,"WB","Compartment","muscat_DESeq2"
"Ms4a6c","NKT_cells",50,1.03,0.355,2.91,0.00364,0.0744,0.0374,"WB","Compartment","muscat_DESeq2"
"BE692007","NKT_cells",58.4,0.0719,0.356,0.202,0.84,0.964,0.942,"WB","Compartment","muscat_DESeq2"
"Gm8369","NKT_cells",84.3,1.61,0.332,4.86,0.0000012,0.000131,0.0000698,"WB","Compartment","muscat_DESeq2"
"Ms4a6b","NKT_cells",538,0.405,0.21,1.93,0.0541,0.348,0.232,"WB","Compartment","muscat_DESeq2"
"Ms4a6d","NKT_cells",9.15,0.229,0.793,0.289,0.773,0.945,0.913,"WB","Compartment","muscat_DESeq2"
"Mrpl16","NKT_cells",28.8,-0.179,0.457,-0.391,0.696,0.919,0.876,"WB","Compartment","muscat_DESeq2"
"Patl1","NKT_cells",47.5,-0.406,0.372,-1.09,0.275,0.693,0.577,"WB","Compartment","muscat_DESeq2"
"Osbp","NKT_cells",45.3,-0.347,0.394,-0.882,0.378,0.775,0.674,"WB","Compartment","muscat_DESeq2"
"Dtx4","NKT_cells",10.1,0.451,0.698,0.646,0.518,0.844,0.773,"WB","Compartment","muscat_DESeq2"
"A330040F15Rik","NKT_cells",28,-0.42,0.466,-0.901,0.368,0.768,0.666,"WB","Compartment","muscat_DESeq2"
"Fam111a","NKT_cells",79.2,-0.629,0.313,-2.01,0.0446,0.317,0.207,"WB","Compartment","muscat_DESeq2"
"Zfp91","NKT_cells",130,0.0096,0.275,0.0349,0.972,0.993,0.991,"WB","Compartment","muscat_DESeq2"
"Lpxn","NKT_cells",125,0.309,0.278,1.11,0.265,0.685,0.567,"WB","Compartment","muscat_DESeq2"
"Tle4","NKT_cells",204,-0.367,0.246,-1.49,0.135,0.533,0.397,"WB","Compartment","muscat_DESeq2"
"Psat1","NKT_cells",25.9,-0.358,0.461,-0.778,0.437,0.805,0.717,"WB","Compartment","muscat_DESeq2"
"Cep78","NKT_cells",13.8,0.209,0.626,0.335,0.738,0.934,0.897,"WB","Compartment","muscat_DESeq2"
"Gnaq","NKT_cells",30.3,-1.31,0.508,-2.58,0.00981,0.138,0.0759,"WB","Compartment","muscat_DESeq2"
"Vps13a","NKT_cells",240,-0.0868,0.231,-0.376,0.707,0.922,0.881,"WB","Compartment","muscat_DESeq2"
"Gcnt1","NKT_cells",8.26,-1.96,0.904,-2.17,0.0303,0.263,0.162,"WB","Compartment","muscat_DESeq2"
"Rfk","NKT_cells",33.8,0.382,0.411,0.929,0.353,0.756,0.653,"WB","Compartment","muscat_DESeq2"
"Ostf1","NKT_cells",326,0.292,0.209,1.39,0.164,0.579,0.442,"WB","Compartment","muscat_DESeq2"
"Nmrk1","NKT_cells",13.3,-0.505,0.632,-0.8,0.424,0.798,0.707,"WB","Compartment","muscat_DESeq2"
"Carnmt1","NKT_cells",41.9,-0.175,0.38,-0.46,0.646,0.904,0.85,"WB","Compartment","muscat_DESeq2"
"D030056L22Rik","NKT_cells",20.9,0.368,0.519,0.709,0.478,0.827,0.748,"WB","Compartment","muscat_DESeq2"
"Anxa1","NKT_cells",78.5,-0.869,0.302,-2.88,0.00398,0.0794,0.04,"WB","Compartment","muscat_DESeq2"
"Zfand5","NKT_cells",75.6,-0.0957,0.38,-0.252,0.801,0.952,0.925,"WB","Compartment","muscat_DESeq2"
"Gda","NKT_cells",42.3,-2.02,1.16,-1.74,0.0817,0.429,0.298,"WB","Compartment","muscat_DESeq2"
"1110059E24Rik","NKT_cells",28.9,-0.316,0.447,-0.708,0.479,0.827,0.748,"WB","Compartment","muscat_DESeq2"
"Abhd17b","NKT_cells",58.2,-0.0518,0.426,-0.121,0.903,0.979,0.967,"WB","Compartment","muscat_DESeq2"
"Cemip2","NKT_cells",15.4,0.2,0.644,0.311,0.756,0.94,0.905,"WB","Compartment","muscat_DESeq2"
"Klf9","NKT_cells",33.9,0.61,0.432,1.41,0.157,0.573,0.433,"WB","Compartment","muscat_DESeq2"
"Smc5","NKT_cells",134,0.17,0.26,0.656,0.512,0.84,0.768,"WB","Compartment","muscat_DESeq2"
"Ptar1","NKT_cells",29.7,0.242,0.443,0.547,0.584,0.875,0.813,"WB","Compartment","muscat_DESeq2"
"Tjp2","NKT_cells",38.3,-0.253,0.435,-0.581,0.561,0.865,0.798,"WB","Compartment","muscat_DESeq2"
"Fxn","NKT_cells",30.2,0.319,0.427,0.748,0.455,0.816,0.731,"WB","Compartment","muscat_DESeq2"
"Pip5k1b","NKT_cells",72.9,-0.389,0.317,-1.23,0.219,0.642,0.513,"WB","Compartment","muscat_DESeq2"
"Cbwd1","NKT_cells",23,0.551,0.501,1.1,0.271,0.691,0.573,"WB","Compartment","muscat_DESeq2"
"Dock8","NKT_cells",450,-0.205,0.191,-1.07,0.284,0.702,0.587,"WB","Compartment","muscat_DESeq2"
"Smarca2","NKT_cells",235,0.139,0.233,0.598,0.55,0.857,0.791,"WB","Compartment","muscat_DESeq2"
"Pum3","NKT_cells",69.4,-0.562,0.318,-1.77,0.0775,0.417,0.288,"WB","Compartment","muscat_DESeq2"
"Rfx3","NKT_cells",134,0.388,0.255,1.52,0.129,0.521,0.387,"WB","Compartment","muscat_DESeq2"
"Glis3","NKT_cells",16,-0.468,0.641,-0.731,0.465,0.82,0.739,"WB","Compartment","muscat_DESeq2"
"Plpp6","NKT_cells",12.3,-0.662,0.688,-0.963,0.336,0.747,0.638,"WB","Compartment","muscat_DESeq2"
"Cdc37l1","NKT_cells",80,0.21,0.298,0.705,0.481,0.828,0.749,"WB","Compartment","muscat_DESeq2"
"Ak3","NKT_cells",48.7,0.138,0.352,0.391,0.696,0.919,0.876,"WB","Compartment","muscat_DESeq2"
"Rcl1","NKT_cells",46.5,0.0952,0.373,0.255,0.799,0.951,0.924,"WB","Compartment","muscat_DESeq2"
"Jak2","NKT_cells",149,-0.441,0.284,-1.55,0.12,0.508,0.372,"WB","Compartment","muscat_DESeq2"
"Plgrkt","NKT_cells",107,0.287,0.27,1.06,0.288,0.705,0.59,"WB","Compartment","muscat_DESeq2"
"Cd274","NKT_cells",41.8,-0.021,0.382,-0.0549,0.956,0.989,0.984,"WB","Compartment","muscat_DESeq2"
"Pdcd1lg2","NKT_cells",25.3,0.234,0.464,0.505,0.614,0.888,0.831,"WB","Compartment","muscat_DESeq2"
"A930007I19Rik","NKT_cells",10.1,-0.125,0.707,-0.177,0.86,0.97,0.951,"WB","Compartment","muscat_DESeq2"
"Ric1","NKT_cells",63.3,0.286,0.32,0.895,0.371,0.769,0.669,"WB","Compartment","muscat_DESeq2"
"Ermp1","NKT_cells",32.8,-0.194,0.423,-0.458,0.647,0.904,0.85,"WB","Compartment","muscat_DESeq2"
"9930021J03Rik","NKT_cells",68.9,0.0302,0.335,0.09,0.928,0.985,0.976,"WB","Compartment","muscat_DESeq2"
"Ranbp6","NKT_cells",11.5,0.0119,0.669,0.0178,0.986,0.997,0.996,"WB","Compartment","muscat_DESeq2"
"Uhrf2","NKT_cells",111,-0.0292,0.272,-0.107,0.915,0.982,0.971,"WB","Compartment","muscat_DESeq2"
"Cstf2t","NKT_cells",35.5,-0.549,0.412,-1.33,0.183,0.605,0.469,"WB","Compartment","muscat_DESeq2"
"Sgms1","NKT_cells",82.4,0.119,0.316,0.377,0.706,0.922,0.881,"WB","Compartment","muscat_DESeq2"
"Rpl9-ps6","NKT_cells",2530,0.464,0.166,2.79,0.00519,0.0935,0.0484,"WB","Compartment","muscat_DESeq2"
"Minpp1","NKT_cells",26.4,0.169,0.468,0.362,0.717,0.926,0.887,"WB","Compartment","muscat_DESeq2"
"Atad1","NKT_cells",59.4,0.228,0.328,0.693,0.488,0.831,0.753,"WB","Compartment","muscat_DESeq2"
"Pten","NKT_cells",162,-0.608,0.283,-2.15,0.0313,0.268,0.166,"WB","Compartment","muscat_DESeq2"
"Rnls","NKT_cells",5.88,-0.591,1.03,-0.572,0.567,0.866,0.802,"WB","Compartment","muscat_DESeq2"
"Stambpl1","NKT_cells",68.7,-0.345,0.322,-1.07,0.285,0.703,0.587,"WB","Compartment","muscat_DESeq2"
"Fas","NKT_cells",28.5,0.84,0.458,1.83,0.0667,0.384,0.263,"WB","Compartment","muscat_DESeq2"
"Lipa","NKT_cells",40.6,0.368,0.388,0.947,0.344,0.753,0.646,"WB","Compartment","muscat_DESeq2"
"Ifit2","NKT_cells",31.2,-0.0755,0.45,-0.168,0.867,0.972,0.954,"WB","Compartment","muscat_DESeq2"
"Ifit3","NKT_cells",14.4,0.464,0.678,0.685,0.494,0.833,0.756,"WB","Compartment","muscat_DESeq2"
"Ifit1bl1","NKT_cells",37.7,-0.628,0.433,-1.45,0.147,0.555,0.417,"WB","Compartment","muscat_DESeq2"
"Ifit1","NKT_cells",8.41,0.889,0.826,1.08,0.282,0.7,0.585,"WB","Compartment","muscat_DESeq2"
"Pank1","NKT_cells",8.17,-0.318,0.838,-0.379,0.705,0.922,0.88,"WB","Compartment","muscat_DESeq2"
"Kif20b","NKT_cells",23.5,-0.465,0.492,-0.946,0.344,0.753,0.646,"WB","Compartment","muscat_DESeq2"
"Rpp30","NKT_cells",24.2,0.292,0.469,0.623,0.533,0.851,0.782,"WB","Compartment","muscat_DESeq2"
"Pcgf5","NKT_cells",114,0.321,0.28,1.15,0.251,0.674,0.551,"WB","Compartment","muscat_DESeq2"
"Hectd2","NKT_cells",16.7,-0.893,0.608,-1.47,0.141,0.546,0.408,"WB","Compartment","muscat_DESeq2"
"Tnks2","NKT_cells",222,-0.0811,0.248,-0.327,0.744,0.936,0.9,"WB","Compartment","muscat_DESeq2"
"Btaf1","NKT_cells",103,-0.26,0.281,-0.926,0.354,0.757,0.654,"WB","Compartment","muscat_DESeq2"
"Marchf5","NKT_cells",60.5,0.233,0.324,0.72,0.472,0.825,0.744,"WB","Compartment","muscat_DESeq2"
"Ide","NKT_cells",106,-0.186,0.267,-0.697,0.486,0.83,0.751,"WB","Compartment","muscat_DESeq2"
"Kif11","NKT_cells",7.53,-2.94,1.14,-2.58,0.00999,0.14,0.0769,"WB","Compartment","muscat_DESeq2"
"Hhex","NKT_cells",20.5,0.321,0.536,0.599,0.549,0.857,0.79,"WB","Compartment","muscat_DESeq2"
"Exoc6","NKT_cells",99.5,-0.488,0.279,-1.75,0.0805,0.427,0.295,"WB","Compartment","muscat_DESeq2"
"Fra10ac1","NKT_cells",30.2,-0.822,0.447,-1.84,0.0661,0.383,0.261,"WB","Compartment","muscat_DESeq2"
"Noc3l","NKT_cells",34.2,-0.173,0.427,-0.406,0.685,0.915,0.87,"WB","Compartment","muscat_DESeq2"
"Tbc1d12","NKT_cells",21.2,0.0582,0.513,0.113,0.91,0.981,0.97,"WB","Compartment","muscat_DESeq2"
"Hells","NKT_cells",20.3,-0.514,0.55,-0.934,0.35,0.756,0.651,"WB","Compartment","muscat_DESeq2"
"Pdlim1","NKT_cells",115,0.222,0.262,0.847,0.397,0.785,0.69,"WB","Compartment","muscat_DESeq2"
"Sorbs1","NKT_cells",63.4,0.377,0.336,1.12,0.261,0.682,0.562,"WB","Compartment","muscat_DESeq2"
"Aldh18a1","NKT_cells",36.1,-0.238,0.436,-0.546,0.585,0.875,0.814,"WB","Compartment","muscat_DESeq2"
"Entpd1","NKT_cells",52.2,-0.215,0.433,-0.496,0.62,0.891,0.835,"WB","Compartment","muscat_DESeq2"
"Zfp518a","NKT_cells",36.8,-0.366,0.435,-0.842,0.4,0.785,0.691,"WB","Compartment","muscat_DESeq2"
"Tm9sf3","NKT_cells",189,-0.107,0.227,-0.472,0.637,0.899,0.845,"WB","Compartment","muscat_DESeq2"
"Pik3ap1","NKT_cells",59.1,0.14,0.331,0.424,0.672,0.911,0.863,"WB","Compartment","muscat_DESeq2"
"Lcor","NKT_cells",156,-0.164,0.245,-0.669,0.503,0.837,0.763,"WB","Compartment","muscat_DESeq2"
"Frat2","NKT_cells",26.9,0.842,0.555,1.52,0.129,0.522,0.388,"WB","Compartment","muscat_DESeq2"
"Rrp12","NKT_cells",23.9,-0.401,0.527,-0.761,0.447,0.811,0.725,"WB","Compartment","muscat_DESeq2"
"Pgam1","NKT_cells",126,-0.0106,0.272,-0.0389,0.969,0.993,0.989,"WB","Compartment","muscat_DESeq2"
"Exosc1","NKT_cells",56.2,-0.508,0.34,-1.49,0.135,0.534,0.397,"WB","Compartment","muscat_DESeq2"
"Zdhhc16","NKT_cells",15.3,0.215,0.585,0.368,0.713,0.924,0.884,"WB","Compartment","muscat_DESeq2"
"Mms19","NKT_cells",56,-0.428,0.336,-1.27,0.202,0.633,0.495,"WB","Compartment","muscat_DESeq2"
"Ubtd1","NKT_cells",11.4,-0.89,0.718,-1.24,0.215,0.64,0.509,"WB","Compartment","muscat_DESeq2"
"Pi4k2a","NKT_cells",42.7,0.274,0.402,0.68,0.496,0.834,0.758,"WB","Compartment","muscat_DESeq2"
"Marveld1","NKT_cells",12,-0.167,0.752,-0.222,0.824,0.958,0.935,"WB","Compartment","muscat_DESeq2"
"Zfyve27","NKT_cells",38.1,0.105,0.409,0.256,0.798,0.951,0.924,"WB","Compartment","muscat_DESeq2"
"R3hcc1l","NKT_cells",68.3,-0.0229,0.371,-0.0617,0.951,0.988,0.983,"WB","Compartment","muscat_DESeq2"
"Hps1","NKT_cells",37.3,-0.342,0.441,-0.776,0.438,0.805,0.718,"WB","Compartment","muscat_DESeq2"
"Got1","NKT_cells",40.5,0.512,0.389,1.32,0.188,0.614,0.477,"WB","Compartment","muscat_DESeq2"
"Slc25a28","NKT_cells",36.4,-0.371,0.445,-0.834,0.404,0.787,0.694,"WB","Compartment","muscat_DESeq2"
"Cox15","NKT_cells",19.9,-0.603,0.534,-1.13,0.259,0.681,0.56,"WB","Compartment","muscat_DESeq2"
"Cutc","NKT_cells",15.9,-0.114,0.579,-0.197,0.844,0.966,0.944,"WB","Compartment","muscat_DESeq2"
"Dnmbp","NKT_cells",26.1,-0.848,0.493,-1.72,0.0854,0.436,0.305,"WB","Compartment","muscat_DESeq2"
"Erlin1","NKT_cells",14,0.343,0.629,0.546,0.585,0.875,0.813,"WB","Compartment","muscat_DESeq2"
"Chuk","NKT_cells",53,0.0151,0.354,0.0427,0.966,0.992,0.988,"WB","Compartment","muscat_DESeq2"
"Cwf19l1","NKT_cells",18.4,-0.1,0.542,-0.185,0.853,0.968,0.948,"WB","Compartment","muscat_DESeq2"
"Bloc1s2","NKT_cells",56.4,0.3,0.331,0.905,0.365,0.767,0.664,"WB","Compartment","muscat_DESeq2"
"Scd2","NKT_cells",29,-1.16,0.49,-2.37,0.0178,0.196,0.114,"WB","Compartment","muscat_DESeq2"
"Ndufb8","NKT_cells",126,0.148,0.256,0.576,0.565,0.865,0.8,"WB","Compartment","muscat_DESeq2"
"Hif1an","NKT_cells",31.1,0.276,0.436,0.632,0.527,0.849,0.779,"WB","Compartment","muscat_DESeq2"
"Slf2","NKT_cells",66.2,-0.078,0.323,-0.242,0.809,0.955,0.929,"WB","Compartment","muscat_DESeq2"
"Mrpl43","NKT_cells",73.8,-0.0894,0.306,-0.292,0.77,0.944,0.912,"WB","Compartment","muscat_DESeq2"
"Twnk","NKT_cells",7.54,-1.07,0.861,-1.24,0.215,0.639,0.508,"WB","Compartment","muscat_DESeq2"
"Sfxn3","NKT_cells",53,0.781,0.347,2.25,0.0246,0.235,0.142,"WB","Compartment","muscat_DESeq2"
"Btrc","NKT_cells",40.6,-0.158,0.4,-0.396,0.692,0.918,0.874,"WB","Compartment","muscat_DESeq2"
"Poll","NKT_cells",9.12,-0.423,0.76,-0.556,0.578,0.872,0.809,"WB","Compartment","muscat_DESeq2"
"Dpcd","NKT_cells",56.4,0.47,0.36,1.31,0.191,0.618,0.481,"WB","Compartment","muscat_DESeq2"
"Fbxw4","NKT_cells",74.6,-0.506,0.31,-1.63,0.103,0.473,0.339,"WB","Compartment","muscat_DESeq2"
"Npm3","NKT_cells",190,0.0452,0.229,0.197,0.844,0.966,0.944,"WB","Compartment","muscat_DESeq2"
"Oga","NKT_cells",227,0.337,0.218,1.55,0.122,0.509,0.374,"WB","Compartment","muscat_DESeq2"
"Armh3","NKT_cells",34.6,-0.54,0.423,-1.28,0.201,0.631,0.493,"WB","Compartment","muscat_DESeq2"
"Ldb1","NKT_cells",150,-0.205,0.313,-0.656,0.512,0.84,0.768,"WB","Compartment","muscat_DESeq2"
"Pprc1","NKT_cells",47.2,-0.477,0.369,-1.29,0.196,0.624,0.486,"WB","Compartment","muscat_DESeq2"
"Nolc1","NKT_cells",113,-0.0448,0.28,-0.16,0.873,0.973,0.956,"WB","Compartment","muscat_DESeq2"
"Gbf1","NKT_cells",132,-0.251,0.251,-1,0.316,0.73,0.619,"WB","Compartment","muscat_DESeq2"
"4833438C02Rik","NKT_cells",20.4,0.844,0.536,1.57,0.116,0.503,0.365,"WB","Compartment","muscat_DESeq2"
"Nfkb2","NKT_cells",45.6,-0.099,0.387,-0.256,0.798,0.951,0.924,"WB","Compartment","muscat_DESeq2"
"Cuedc2","NKT_cells",41.4,0.283,0.388,0.73,0.465,0.82,0.739,"WB","Compartment","muscat_DESeq2"
"Actr1a","NKT_cells",89.5,0.599,0.279,2.15,0.0318,0.269,0.167,"WB","Compartment","muscat_DESeq2"
"Sufu","NKT_cells",40.7,-0.147,0.41,-0.358,0.72,0.927,0.888,"WB","Compartment","muscat_DESeq2"
"Trim8","NKT_cells",53,-0.471,0.378,-1.25,0.212,0.639,0.505,"WB","Compartment","muscat_DESeq2"
"Arl3","NKT_cells",21.3,0.0547,0.544,0.101,0.92,0.984,0.973,"WB","Compartment","muscat_DESeq2"
"Sfxn2","NKT_cells",12.7,0.176,0.636,0.276,0.782,0.948,0.917,"WB","Compartment","muscat_DESeq2"
"Wbp1l","NKT_cells",76.5,-0.147,0.37,-0.397,0.691,0.918,0.874,"WB","Compartment","muscat_DESeq2"
"Borcs7","NKT_cells",14.8,0.875,0.663,1.32,0.186,0.611,0.474,"WB","Compartment","muscat_DESeq2"
"As3mt","NKT_cells",14.8,0.629,0.626,1,0.315,0.73,0.618,"WB","Compartment","muscat_DESeq2"
"Cnnm2","NKT_cells",15.2,-0.257,0.596,-0.431,0.666,0.91,0.86,"WB","Compartment","muscat_DESeq2"
"Nt5c2","NKT_cells",46.2,-0.57,0.375,-1.52,0.128,0.52,0.386,"WB","Compartment","muscat_DESeq2"
"Pcgf6","NKT_cells",31.9,0.172,0.421,0.409,0.682,0.914,0.868,"WB","Compartment","muscat_DESeq2"
"Taf5","NKT_cells",15.7,-0.00462,0.573,-0.00807,0.994,0.998,0.998,"WB","Compartment","muscat_DESeq2"
"Atp5md","NKT_cells",84,1.43,0.345,4.13,0.0000357,0.00233,0.00106,"WB","Compartment","muscat_DESeq2"
"Pdcd11","NKT_cells",63.5,-0.742,0.338,-2.2,0.0281,0.253,0.155,"WB","Compartment","muscat_DESeq2"
"Calhm2","NKT_cells",27.7,-0.0506,0.453,-0.112,0.911,0.982,0.97,"WB","Compartment","muscat_DESeq2"
"Sh3pxd2a","NKT_cells",75,-0.893,0.317,-2.82,0.00482,0.0887,0.0457,"WB","Compartment","muscat_DESeq2"
"Stn1","NKT_cells",46.6,0.425,0.363,1.17,0.242,0.665,0.541,"WB","Compartment","muscat_DESeq2"
"Slk","NKT_cells",122,0.0925,0.261,0.355,0.723,0.927,0.889,"WB","Compartment","muscat_DESeq2"
"Sfr1","NKT_cells",150,0.985,0.251,3.93,0.0000851,0.00451,0.00213,"WB","Compartment","muscat_DESeq2"
"Gsto1","NKT_cells",38.7,-0.191,0.409,-0.468,0.64,0.9,0.847,"WB","Compartment","muscat_DESeq2"
"Itprip","NKT_cells",20.7,0.788,0.52,1.52,0.129,0.522,0.388,"WB","Compartment","muscat_DESeq2"
"Xpnpep1","NKT_cells",35.5,-0.516,0.418,-1.23,0.217,0.641,0.511,"WB","Compartment","muscat_DESeq2"
"Add3","NKT_cells",302,-0.0385,0.214,-0.18,0.857,0.97,0.95,"WB","Compartment","muscat_DESeq2"
"Mxi1","NKT_cells",23,-0.145,0.546,-0.265,0.791,0.95,0.921,"WB","Compartment","muscat_DESeq2"
"Smndc1","NKT_cells",142,0.934,0.249,3.75,0.00018,0.00801,0.00387,"WB","Compartment","muscat_DESeq2"
"Gm56638","NKT_cells",72.4,0.377,0.344,1.1,0.273,0.692,0.575,"WB","Compartment","muscat_DESeq2"
"Mirt1","NKT_cells",141,0.856,0.25,3.42,0.00062,0.0202,0.00992,"WB","Compartment","muscat_DESeq2"
"Gm50394","NKT_cells",8.78,1.43,0.763,1.88,0.0607,0.367,0.248,"WB","Compartment","muscat_DESeq2"
"Dusp5","NKT_cells",278,2.46,0.3,8.21,0.000000000000000218,0.000000000000228,0.000000000000143,"WB","Compartment","muscat_DESeq2"
"Smc3","NKT_cells",171,0.569,0.233,2.44,0.0146,0.176,0.0996,"WB","Compartment","muscat_DESeq2"
"Pdcd4","NKT_cells",763,-0.0475,0.202,-0.235,0.814,0.955,0.931,"WB","Compartment","muscat_DESeq2"
"Bbip1","NKT_cells",41,-0.25,0.382,-0.653,0.514,0.841,0.769,"WB","Compartment","muscat_DESeq2"
"Shoc2","NKT_cells",70.6,-0.263,0.318,-0.827,0.408,0.789,0.697,"WB","Compartment","muscat_DESeq2"
"Gpam","NKT_cells",10.1,-0.926,0.739,-1.25,0.21,0.637,0.503,"WB","Compartment","muscat_DESeq2"
"Acsl5","NKT_cells",73.9,-0.0251,0.304,-0.0824,0.934,0.987,0.978,"WB","Compartment","muscat_DESeq2"
"Zdhhc6","NKT_cells",34.8,-0.402,0.427,-0.942,0.346,0.754,0.648,"WB","Compartment","muscat_DESeq2"
"Vti1a","NKT_cells",238,-0.509,0.22,-2.31,0.0208,0.213,0.126,"WB","Compartment","muscat_DESeq2"
"Casp7","NKT_cells",27.3,-0.421,0.456,-0.923,0.356,0.757,0.656,"WB","Compartment","muscat_DESeq2"
"Nhlrc2","NKT_cells",62.7,-0.187,0.337,-0.555,0.579,0.872,0.809,"WB","Compartment","muscat_DESeq2"
"Ccdc186","NKT_cells",45.7,0.574,0.364,1.58,0.114,0.5,0.361,"WB","Compartment","muscat_DESeq2"
"Ablim1","NKT_cells",656,0.344,0.18,1.92,0.0554,0.35,0.235,"WB","Compartment","muscat_DESeq2"
"B230217O12Rik","NKT_cells",11.5,0.022,0.695,0.0316,0.975,0.995,0.992,"WB","Compartment","muscat_DESeq2"
"Fhip2a","NKT_cells",53.3,-0.366,0.346,-1.06,0.291,0.709,0.593,"WB","Compartment","muscat_DESeq2"
"Trub1","NKT_cells",14.5,-0.32,0.613,-0.523,0.601,0.883,0.824,"WB","Compartment","muscat_DESeq2"
"Atrnl1","NKT_cells",32,-0.289,0.448,-0.645,0.519,0.844,0.773,"WB","Compartment","muscat_DESeq2"
"Pdzd8","NKT_cells",107,-0.194,0.275,-0.708,0.479,0.827,0.748,"WB","Compartment","muscat_DESeq2"
"Rab11fip2","NKT_cells",34.5,0.299,0.425,0.704,0.481,0.828,0.749,"WB","Compartment","muscat_DESeq2"
"Fam204a","NKT_cells",73.7,0.431,0.301,1.43,0.153,0.565,0.426,"WB","Compartment","muscat_DESeq2"
"Cacul1","NKT_cells",72.2,-0.00838,0.32,-0.0262,0.979,0.996,0.994,"WB","Compartment","muscat_DESeq2"
"Eif3a","NKT_cells",417,0.166,0.207,0.799,0.424,0.798,0.708,"WB","Compartment","muscat_DESeq2"
"Dennd10","NKT_cells",20.7,-0.431,0.566,-0.761,0.447,0.811,0.725,"WB","Compartment","muscat_DESeq2"
"Prdx3","NKT_cells",68,0.496,0.32,1.55,0.121,0.509,0.374,"WB","Compartment","muscat_DESeq2"
"Grk5","NKT_cells",51.4,-0.96,0.36,-2.66,0.0077,0.12,0.0642,"WB","Compartment","muscat_DESeq2"
"Zfp950","NKT_cells",74.5,-0.165,0.307,-0.537,0.591,0.878,0.818,"WB","Compartment","muscat_DESeq2"
"Csf2ra","NKT_cells",20,-1.07,0.597,-1.8,0.0716,0.4,0.274,"WB","Compartment","muscat_DESeq2"
"Clcn5","NKT_cells",15.9,-0.275,0.599,-0.459,0.646,0.904,0.85,"WB","Compartment","muscat_DESeq2"
"Ccdc22","NKT_cells",9.8,-0.301,0.781,-0.386,0.7,0.92,0.878,"WB","Compartment","muscat_DESeq2"
"Prickle3","NKT_cells",27.2,0.172,0.464,0.371,0.711,0.924,0.883,"WB","Compartment","muscat_DESeq2"
"Plp2","NKT_cells",81.5,-0.496,0.304,-1.63,0.103,0.474,0.34,"WB","Compartment","muscat_DESeq2"
"Gpkow","NKT_cells",48.4,0.124,0.353,0.352,0.725,0.928,0.89,"WB","Compartment","muscat_DESeq2"
"Wdr45","NKT_cells",26.1,0.45,0.466,0.966,0.334,0.746,0.636,"WB","Compartment","muscat_DESeq2"
"Praf2","NKT_cells",15.3,0.206,0.578,0.357,0.721,0.927,0.889,"WB","Compartment","muscat_DESeq2"
"Tfe3","NKT_cells",21.8,-0.0193,0.51,-0.0379,0.97,0.993,0.989,"WB","Compartment","muscat_DESeq2"
"Gripap1","NKT_cells",82.7,-0.209,0.295,-0.71,0.478,0.827,0.748,"WB","Compartment","muscat_DESeq2"
"Otud5","NKT_cells",110,0.559,0.264,2.12,0.0339,0.279,0.175,"WB","Compartment","muscat_DESeq2"
"Pim2","NKT_cells",136,-0.464,0.249,-1.86,0.0626,0.372,0.253,"WB","Compartment","muscat_DESeq2"
"Slc35a2","NKT_cells",18.9,0.232,0.537,0.432,0.666,0.91,0.86,"WB","Compartment","muscat_DESeq2"
"Pqbp1","NKT_cells",54,0.327,0.341,0.96,0.337,0.748,0.639,"WB","Compartment","muscat_DESeq2"
"Timm17b","NKT_cells",60.3,0.172,0.336,0.514,0.608,0.885,0.828,"WB","Compartment","muscat_DESeq2"
"Suv39h1","NKT_cells",23.7,-0.165,0.501,-0.328,0.743,0.935,0.9,"WB","Compartment","muscat_DESeq2"
